customer_id,first_name,last_name,email,phone_number,address
CUST0001,Samaira,Sachdeva,choudhurysamar@example.com,9.15481E+11,"835
Trivedi Chowk, Bokaro-204162"
CUST0002,Anahita,Sawhney,dkonda@example.org,9.1339E+11,"H.No. 884
Brar, Ahmedabad-838341"
CUST0003,Drishya,Lall,kmajumdar@example.net,9652190131,"76/350, Kurian, Kanpur 761760"
CUST0004,Bhavin,Vyas,shanmiraan@example.net,8971533479,"H.No. 687
Vala Street, Bidar 878361"
CUST0005,Dhanush,Wagle,mehul22@example.org,5915620767,"H.No. 123
Boase, Suryapet-331699"
CUST0006,Advik,Buch,tbarman@example.net,2581514452,"263, Bhatti Nagar
Aligarh-538360"
CUST0007,Vedika,Rama,akarsh32@example.net,8712079595,"539, Mahajan Marg
Madanapalle-576420"
CUST0008,Vaibhav,Ratta,samarth85@example.com,6915441495,"93/06, Bobal Street
Siwan-293402"
CUST0009,Rania,Vyas,kalashray@example.net,5413683531,"H.No. 548
Goswami Street
Uluberia-605725"
CUST0010,Dishani,Dayal,yakshit77@example.com,4614410760,"H.No. 51, Cherian Circle
Bangalore-904175"
CUST0011,Devansh,Sawhney,qbhatti@example.com,9.10115E+11,"H.No. 807, Soman, Kozhikode-302112"
CUST0012,Lakshit,Sampath,adahtandon@example.com,6474028985,"07/07, Taneja Nagar
Bangalore 657102"
CUST0013,Nitya,Lata,yasmin99@example.com,8365480647,"H.No. 96, Krish Road
Asansol-003050"
CUST0014,Farhan,Acharya,hayrekashvi@example.net,9.13604E+11,"H.No. 51, Ramaswamy, Sambhal-347131"
CUST0015,Lagan,Khanna,tarini97@example.com,379853899,"H.No. 98, Chatterjee
Pimpri-Chinchwad 611324"
CUST0016,Adira,Raju,bsrinivas@example.net,1155482786,"H.No. 561, Bhatia Nagar, Tirupati 189730"
CUST0017,Miraya,Goda,dhruv49@example.org,6025539281,"36, Dasgupta Path
Bhusawal 975379"
CUST0018,Aradhya,Kant,akarsh90@example.net,3027009473,"02
Kumar Ganj
Kanpur 957398"
CUST0019,Anvi,Deshpande,fsetty@example.org,9.12952E+11,"H.No. 92
Agrawal Chowk
Gurgaon 700040"
CUST0020,Madhav,Sem,vivaan48@example.com,6726320531,"33
Deshmukh Ganj, Mathura-261438"
CUST0021,Pranay,Sengupta,nakulramakrishnan@example.net,9.16526E+11,"18/19, Seth Path, Amroha 255222"
CUST0022,Jiya,Andra,ravelpiya@example.com,569587352,"76/16, Mani Nagar
Indore 298007"
CUST0023,Ojas,Mahajan,inaaya-shukla@example.org,4538543743,"797
Kala Path, Malegaon 005009"
CUST0024,Zara,Kade,reyanshjayaraman@example.com,9584240070,"18/122
Bhagat Street
Kanpur 659809"
CUST0025,Dhanush,Upadhyay,sakshambahri@example.com,9.11798E+11,"910
Rege Path, Bhagalpur 276933"
CUST0026,Vaibhav,Raval,evasule@example.net,9.17999E+11,"H.No. 431
Sangha, Bokaro-637358"
CUST0027,Anahi,Das,wroy@example.com,842800157,"349, Raj Path
Malegaon-804659"
CUST0028,Aaina,Ravi,tbajwa@example.net,6530427969,"17
Rau Circle, Erode 723899"
CUST0029,Lakshit,Iyengar,qkeer@example.com,8173068103,"H.No. 407
Ahuja Marg, Tadipatri-409109"
CUST0030,Advik,Reddy,jainsiya@example.net,1815661839,"H.No. 71
Venkataraman Chowk
Davanagere-037810"
CUST0031,Mannat,Kala,lavanyabawa@example.net,104368528,"848, Khatri Marg, Unnao-900541"
CUST0032,Piya,Balay,taimur20@example.com,9417066734,"H.No. 885, Shah Circle
Bhiwani 212949"
CUST0033,Ishaan,Chad,urvi23@example.org,8098130153,"09
Varty
Jalandhar 705556"
CUST0034,Indrajit,Datta,khushiyadav@example.com,8702452631,"38/42, Bhatt, Tiruchirappalli-290734"
CUST0035,Taimur,Lad,darshit15@example.com,9186233106,"82/08, Lad, Ratlam 158337"
CUST0036,Aniruddh,Gopal,sanghvisamaira@example.org,9499895983,"H.No. 896, Arora, Sagar-612671"
CUST0037,Ritvik,Mand,akarsh63@example.net,9736569004,"459, Rastogi Nagar, Ballia-014185"
CUST0038,Vivaan,De,bhaminiramesh@example.com,6154030328,"H.No. 965, Saraf Ganj, Siwan-294559"
CUST0039,Vedika,Ramachandran,tankbhavin@example.com,9.18521E+11,"935
Bumb Nagar
Patiala 700307"
CUST0040,Bhavin,Deo,ssengupta@example.net,3869275361,"91/81
Sunder Zila
Ramagundam-776266"
CUST0041,Myra,Ganguly,shamik86@example.net,3609809017,"H.No. 808
Sachar Nagar, Jhansi 209166"
CUST0042,Shalv,Saxena,inaaya-kadakia@example.net,4980408147,"H.No. 40, Gade Circle, Aurangabad-541910"
CUST0043,Abram,Lata,nirviyogi@example.com,9.12865E+11,"H.No. 18
Shenoy Road
Aurangabad-095587"
CUST0044,Onkar,Sant,zeeshanbrahmbhatt@example.net,3533401775,"572
Borde Zila, Ambala-063852"
CUST0045,Prerak,Doctor,akarsh60@example.org,9.18021E+11,"076
Dani Path
Bareilly 548093"
CUST0046,Rohan,Rao,advikachad@example.net,958920064,"H.No. 02
Bandi Ganj, Salem-001930"
CUST0047,Devansh,Borra,sethiabram@example.org,7258265149,"H.No. 69, Vohra Marg
Bhiwani-627047"
CUST0048,Kartik,Verma,taimur47@example.com,9455040991,"49
Goda
Karnal-016035"
CUST0049,Madhav,Chanda,jayanthegde@example.com,9209946082,"60/631
Anand Street, Moradabad 325108"
CUST0050,Aarush,Ramaswamy,divyanshsur@example.net,3916019532,"H.No. 84, Bir Circle
Jehanabad 087261"
CUST0051,Zeeshan,Baria,fdalia@example.com,9.16095E+11,"H.No. 960, Krish, Dibrugarh 456068"
CUST0052,Elakshi,Dave,pchakrabarti@example.com,3170464904,"55/813, Chander Path
Dehri-350290"
CUST0053,Aarav,Chander,adah56@example.com,5061043539,"H.No. 426
Kapoor Road, Bareilly-134922"
CUST0054,Aaryahi,Bhattacharyya,vaibhavsharaf@example.org,8300984452,"98/75
Raval Ganj, Warangal 213121"
CUST0055,Amani,Apte,gsant@example.com,4196503105,"860
Issac Ganj
Kolhapur-940483"
CUST0056,Anaya,Vig,divit29@example.com,9.1253E+11,"06/788
Sant Road, Bongaigaon-983038"
CUST0057,Parinaaz,Manne,raooorja@example.com,2362436578,"H.No. 84
Samra Circle
Kottayam-856415"
CUST0058,Madhav,Majumdar,standon@example.net,4473851650,"07, Balakrishnan Ganj, Jamalpur-046739"
CUST0059,Ayesha,Gade,preraksaraf@example.net,3378291316,"H.No. 64, Kunda Street, Vadodara 131524"
CUST0060,Anahita,Sastry,arhaanmahal@example.com,7034661679,"H.No. 252, Bala Path, Ranchi 075258"
CUST0061,Nirvaan,Toor,manjarisavant@example.net,911785850,"468, Dyal Circle, Durgapur 672452"
CUST0062,Reyansh,Magar,bosenakul@example.com,9.19204E+11,"646
Sinha, Raiganj 340482"
CUST0063,Lagan,Rao,skuruvilla@example.org,9.14436E+11,"H.No. 804
Anne Path, Bikaner-644041"
CUST0064,Suhana,Varughese,vkadakia@example.org,844375794,"38/26
Khalsa Marg
Bareilly 196214"
CUST0065,Renee,Mall,bansalmanikya@example.com,9.1413E+11,"93
Choudhury Street
Noida 374363"
CUST0066,Nehmat,Suresh,pranay94@example.com,7931489157,"H.No. 238, Bhat Street, Nagaon-645975"
CUST0067,Lagan,Chaudhary,jayanvenkataraman@example.org,9.16683E+11,"46/126, Dua Ganj
Karaikudi-426055"
CUST0068,Lavanya,Dass,aarav24@example.net,1333185502,"13
Mane Path, Yamunanagar-219510"
CUST0069,Dhruv,Varughese,asant@example.com,6353397151,"714
Mandal Path, Giridih-131600"
CUST0070,Samarth,Wali,uthkarsh86@example.net,4217697158,"09/99
Tella Chowk
Tirupati-606263"
CUST0071,Shray,Vora,mohanlal81@example.org,2503490767,"H.No. 426, Shenoy Ganj, Bhind-169226"
CUST0072,Tarini,Chokshi,shalv24@example.org,1391042147,"34
Bail Road
Arrah-711225"
CUST0073,Siya,Sinha,fkrish@example.org,9.17883E+11,"790, Barad Street, Suryapet-979288"
CUST0074,Reyansh,Desai,sanghvitarini@example.com,1569719337,"17/654, Kant Nagar, Kollam 919036"
CUST0075,Inaaya ,Krishna,hbahri@example.com,9.182E+11,"H.No. 04, Karpe Circle
Agra 990373"
CUST0076,Shalv,Tank,hchokshi@example.net,9.15649E+11,"741, Chaudhary, Pondicherry-768214"
CUST0077,Vidur,Agarwal,dadataimur@example.com,1969738398,"H.No. 50
Apte Road
Davanagere-108810"
CUST0078,Vedika,Rout,bedividur@example.com,9.11389E+11,"H.No. 124, Chadha Marg, Bhilwara 417608"
CUST0079,Nishith,Dua,vardaniya57@example.net,9061341039,"36/50, Bedi Street, Saharanpur-626497"
CUST0080,Samiha,Das,ckhalsa@example.net,5401703176,"49/276
Bal Street
Katni-010278"
CUST0081,Nirvaan,Mammen,tanya15@example.net,8373282626,"H.No. 701
Sanghvi, Hosur-387632"
CUST0082,Badal,Sandal,sairaedwin@example.org,9.16854E+11,"H.No. 039, Tata, Bahraich-957920"
CUST0083,Prerak,Seshadri,vivaan63@example.net,3191784924,"18/307
Amble Chowk, Kanpur 734094"
CUST0084,Indrajit,Viswanathan,gdeol@example.net,9.11557E+11,"345
Kadakia Nagar
Chandrapur 346399"
CUST0085,Emir,Babu,zainacherian@example.org,5207810225,"H.No. 26, Solanki Road, Noida-187270"
CUST0086,Ishita,Sankaran,shlokde@example.org,9.18501E+11,"602, Arora Street, Bongaigaon 574221"
CUST0087,Kanav,Mangat,tarini94@example.org,4465810073,"381, Aggarwal Chowk
Pallavaram 244415"
CUST0088,Tarini,Dube,ebansal@example.org,9.11392E+11,"H.No. 59
Varghese Path
Yamunanagar-223191"
CUST0089,Alia,Mane,hiran49@example.com,7245260133,"59/617, Sangha Marg, Vijayawada 805873"
CUST0090,Dishani,Barman,bbadami@example.net,9.13836E+11,"42, Kota Zila
Davanagere 376700"
CUST0091,Yashvi,Ravi,cdugal@example.com,6672753625,"06/98, Sunder Road, Nizamabad 054483"
CUST0092,Krish,Chadha,qdas@example.net,9482384673,"H.No. 02, Dugal Marg
Dindigul 326258"
CUST0093,Reyansh,Kannan,ysood@example.com,9335629175,"89/398
Amble, Burhanpur 831902"
CUST0094,Madhup,Kalita,veergaba@example.com,9.16903E+11,"H.No. 84, Andra Marg, Belgaum 966428"
CUST0095,Diya,Vasa,tbora@example.org,1468492205,"H.No. 482, Upadhyay Nagar, Bhimavaram 987296"
CUST0096,Jayesh,Chana,anika48@example.com,9.19712E+11,"96/890, Jani Street
Bulandshahr-172473"
